sampleid,average_mintemp,average_precip,average_veg,lnndvi,neonics,migratory_proxy,operation_type,operation_defined,stationary,honey,pollination,beeolddatamigratory,queen,yard,hobbiest,nuc,research,bumblebee,acetamiprid,clothianidin,dinotefuran,imidacloprid,thiacloprid,thiamethoxam,state,year,region,surveydate,y,x,month,mites,lnmites,nosema,lnnosema,abpv,abpv_d,bqcv,bqcv_d,dwv,dwv_d,cbpv,cbpv_d,iapv,iapv_d,kbv,kbv_d,sbpv,sbpv_d,trop,trop_d,n_apis,n_apis_d,n_ceranae,n_ceranae_d,a_cerana,n_ceranae_per,dwv_percentage,bqcv_percentage,nosema_d,mites_d,collection,submitdate,totalarea,cornall,corn,cotton,sorghum,soybeans,peanuts,winter_wheat,dbl_crop_winwht_soybeans,rye,oats,millet,other_hay_non_alfalfa,other_crops,watermelons,sod_grass_seed,fallow_idle_cropland,shrubland,barren,apples,pecans,aquaculture,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,deciduous_forest,evergreen_forest,mixed_forest,grassland_pasture,woody_wetlands,herbaceous_wetlands,dbl_crop_winwht_corn,pumpkins,dbl_crop_winwht_sorghum,dbl_crop_winwht_cotton,dbl_crop_soybeans_oats,barley,spring_wheat,safflower,alfalfa,misc_vegs___fruits,onions,tomatoes,cherries,grapes,almonds,walnuts,pistachios,triticale,olives,oranges,peppers,pomegranates,plums,lettuce,sunflower,sweet_corn,speltz,sugarbeets,dry_beans,hops,peaches,other_tree_crops,asparagus,cabbage,camelina,potatoes,clover_wildflowers,citrus,cantaloupes,strawberries,squash,dbl_crop_corn_soybeans,blueberries,pop_or_orn_corn,herbs,dbl_crop_oats_corn,peas,christmas_trees,carrots,flaxseed,lentils,tobacco,switchgrass,rice,greens,nectarines,radishes,dbl_crop_barley_sorghum,dbl_crop_barley_corn,dbl_crop_barley_soybeans,buckwheat,vetch,sweet_potatoes,mustard,canola,cucumbers,dbl_crop_soybeans_cotton,mint,durum_wheat,other_small_grains,caneberries,pears,perennial_ice_snow_,garlic,honeydew_melons,broccoli,apricots,dbl_crop_lettuce_durum_wht,dbl_crop_lettuce_cantaloupe,dbl_crop_lettuce_cotton,cauliflower,celery,eggplants,sugarcane,gourds,turnips,cranberries,rape_seed,a__,forest,perennial_ice_snow,grass_pasture,a_,nonag_undefined,prunes,clouds_no_data,developed,water,chick_peas,dbl_crop_durum_wht_sorghum,dbl_crop_durum_wh,agg_water,agg_developed,agg_barren,agg_forestedupland,agg_shrubland,agg_grassland,agg_wetlands,percorn,percornpt,plantcorn,corn_bts,corn_bte,percornbt,percotton,percottonpt,plantcotton,cotton_bts,cotton_bte,persorghum,persorghumpt,plantsorghum,sorghum_bts,sorghum_bte,persoybean,persoybeanpt,plantsoy,soybean_bts,soybean_bte,percanola,percanolapt,plantcanola,perspringwht,perspringwhtpt,plantspringw,perwinwht,perwinwhtpt,plantwinwht,perbarley,perbarleypt,plantbarley,perrice,perricept,plantrice,perdeveloped,perbarren,perforests,pershrubland,pergrassland,perwetland,canola_bts,canola_bte,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,lnprecipm,lnprecipa,region1,region2,region3,region4,region5,region6,region7,percorn_bts,percorn_bte,percotton_bts,percotton_bte,persorghum_bts,persorghum_bte,persoybean_bts,persoybean_bte,agg_natural,pernatural,lnmites1,_year
PA 06-2012,13.489422,140.02115,231.84001,5.4460473,,0,"stationary (local pollination) honey production, commercial",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2012,1,6/17/2013,40.96593,-76.568848,6,2.5238578,0.92578864,0.64999998,-0.43078291,,,,,,,,,,,,,,,,,,,N/A,,,,,,1,1,6/16/1953,6/17/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.6019058,4.9417934,1,0,0,0,0,0,0,,,,,,,,,,,1.2595564,4
PA 07-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,PA,2010,1,6/29/2010,40.91609,-77.708977,6,3.5149386,1.257022,0.11666667,-2.1484344,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,Y,1,,,,,1,1,6/28/1950,6/29/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,,,,,,,,,,,1.5073916,2
PA 07-2011,13.047178,131,228.83267,5.432991,,0,"Queen Production, Stationary",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PA,2011,1,8/30/2011,40.99938,-78.807899,8,5.4884744,1.7026503,0.2,-1.6094379,,,,,,,,,,,,,-,0,-,0,,,,,,,N/A,N/A,1,1,8/29/1951,8/30/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.5685718,4.8751974,1,0,0,0,0,0,0,,,,,,,,,,,1.8700274,3
PA 07-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,PA,2012,1,6/19/2023,40.50961,-78.819237,6,0.87767166,-0.1304827,0.1,-2.3025851,,,,,,,,,,,,,,,,,,,N/A,,,,,,1,1,6/18/1963,6/19/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,,,,,,,,,,,0.63003254,4
PA 07-2013,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,PA,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32535900,4388400,4387500,0,0,3295800,0,1723500,6300,14400,53100,0,835200,2700,0,0,567000,38700,17100,0,0,0,49500,2430000,757800,102600,19800,8523000,93600,14400,8703900,1800,0,900,2700,0,0,0,21600,0,0,842400,0,0,0,0,0,0,0,0,11700,0,0,0,0,0,0,0,900,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49500,3310200,17100,8631000,38700,8703900,1800,13.48787,,,,,,0,,,,,10.129734,,,,,10.129734,,,,,0,,,0,,,5.2972255,,,0.066388205,,,0,,,10.173992,0.052557331,26.52762,0.11894553,26.75168,0.00553235,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,17375400,53.403778,,5
PA 08-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,PA,2010,1,7/20/2010,40.82186,-77.85939,7,1.9957983,0.69104415,0.016666668,-4.0943446,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,1,1,7/19/1950,7/20/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,,,,,,,,,,,1.0972108,2
PA 08-2011,12.985317,176,228.37744,5.4309998,,1,"Queen Production, Migratory",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PA,2011,1,9/16/2011,41.34399,-80.20784,9,4.3307085,1.4657311,0.1,-2.3025851,+,1,+,1,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,70th,50th,1,1,9/15/1951,9/16/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5638192,5.1704841,1,0,0,0,0,0,0,,,,,,,,,,,1.6734842,3
PA 08-2012,8,140.7066,234.39227,5.456996,0,1,"pollination, migratory",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PA,2012,1,10/12/2012,41.55345,-77.127357,10,10.652055,2.3657527,0,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,,,-,0,-,0,,50.9,99.7,61.7,0,1,10/11/1952,10/12/2012,32536800,1566000,1565100,0,0,21600,0,4500,900,0,38700,0,12526200,9900,0,0,303300,218700,61200,900,0,0,62100,2162700,413100,90900,11700,6849000,2496600,5548500,42300,4500,15300,0,1800,0,0,0,0,0,0,69300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,62100,2678400,61200,14894100,218700,42300,19800,4.8130116,0,0,0,0,0,0,0,0,0,1,0.066386372,0,0,0,1,0.066386372,0,0,0,1,0,0,0,0,0,0,0.013830493,0.013830493,1,0,0,0,0,0,0,8.2319098,0.18809471,45.776169,0.672162,0.13000664,0.06085417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0794415,4.9466767,1,0,0,0,0,0,0,0,0,0,0,0,0.066386372,0,0.066386372,15174900,46.639191,2.4554825,4
PA 08-2013,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,PA,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32531400,991800,991800,0,0,438300,0,105300,2700,0,42300,0,432900,7200,0,0,37800,5400,43200,0,0,0,648000,4604400,3227400,1610100,679500,12956400,264600,367200,5895000,6300,900,9000,0,0,0,0,0,0,0,83700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58500,0,0,0,0,0,0,0,0,0,0,6300,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,648000,10121400,43200,13588200,5400,5895000,7200,3.0487468,,,,,,0,,,,,1.3473136,,,,,1.3473136,,,,,0,,,0,,,0.32368726,,,0,,,0,,,31.112709,0.13279478,41.769489,0.016599348,18.120955,0.022132464,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,19495800,59.929176,,5
PA 09-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,PA,2010,1,7/22/2010,40.57287,-76.793831,7,3.9045553,1.3621439,0,,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,0,1,7/21/1950,7/22/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,,,,,,,,,,,1.5901644,2
PA 09-2011,15,107.84899,220.78897,5.3972073,,0,"Stationary, Queen Production",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PA,2011,1,8/22/2011,40.321 W,-79.551987,8,2.1698112,0.7746402,0,,-,0,-,0,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,60th,Under30,0,1,8/21/1951,8/22/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.7080503,4.6807318,1,0,0,0,0,0,0,,,,,,,,,,,1.1536721,3
PA 09-2012,14.382708,163.61729,233.36269,5.4525938,,0,"honey producer, stationary, commercial",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2012,1,6/25/2013,40.19034,-79.768944,6,3.8664711,1.3523422,0,,,,,,,,,,,,,,,,-,0,,,N/A,,,,,,0,1,6/24/1953,6/25/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.6660266,5.0975299,1,0,0,0,0,0,0,,,,,,,,,,,1.5823691,4
PA 09-2013,,,,,0,1,,,,,,,,,,,,,0,0,0,0,0,0,PA,2013,1,6/23/2014,41.33713,-77.042801,6,0.39816234,-0.92089552,0.1,-2.3025851,-,0,,,+,1,-,0,-,0,-,0,-,0,-,0,,,,,,,60,,1,1,,6/23/2014,32519700,1067400,1066500,0,0,320400,0,35100,16200,2700,25200,0,1109700,900,0,0,352800,8100,0,0,0,0,4500,1089000,58500,3600,900,12605400,963000,6754500,7920000,0,0,0,0,0,0,0,0,0,0,151200,0,0,6300,0,900,0,0,0,2700,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,0,13500,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4500,1152000,0,20322900,8100,7920000,0,3.2823181,0,0,1,0,3.2823181,0,0,0,1,0,0.98524892,0.98524892,1,1,0,0.98524892,0,0,1,0,0,0,0,0,0,0,0.10793457,0,0,0,0,0,0,0,0,3.5424681,0,62.494118,0.024907978,24.354467,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,3.2823181,0,0,0,0.98524892,0,0.98524892,0,28251000,86.873497,0.33515877,5
PA 10-2010,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,PA,2010,1,8/6/2010,39.7703,-77.767418,8,4.0594058,1.4010366,0.033333331,-3.4011974,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,1,1,8/5/1950,8/6/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,1,0,0,0,0,0,0,,,,,,,,,,,1.6212491,2
PA 10-2011,16,95,234.3821,5.4569526,,0,"Honey Production, Stationary",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2011,1,9/12/2011,40.66207,-80.193268,9,3.1344793,1.1424631,0.1,-2.3025851,-,0,-,0,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,30th,1,1,9/11/1951,9/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7725887,4.5538769,1,0,0,0,0,0,0,,,,,,,,,,,1.4193614,3
PA 10-2012,14.496536,184.01385,224.3541,5.4132257,0,0,"stationary, honey production, non commercial",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2012,1,6/25/2013,40.55831,-75.819283,6,1.0183151,0.018149318,0,,,,,,,,,,,,,,,,,,,,N/A,,,,,,0,1,6/24/1953,6/25/2013,32539500,5566500,5566500,0,900,3051900,0,436500,165600,6300,43200,0,4606200,78300,0,16200,394200,409500,14400,900,0,0,15300,2132100,568800,100800,10800,13329000,47700,56700,4500,4500,900,0,900,0,0,0,6300,0,0,981000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,448200,0,0,0,0,0,0,0,0,0,900,17100,20700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15300,2812500,14400,13433400,409500,4500,5400,17.106901,0,0,1,0,17.106901,0,0,0,1,0,9.3790627,9.3790627,1,1,0,9.3790627,9.3790627,1,1,0,0,0,0,0,0,0,1.3414465,0,0,0.019361084,0.019361084,1,0,0,0,8.6433411,0.044253908,41.283363,1.2584704,0.013829346,0.016595215,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.6739097,5.2150111,1,0,0,0,0,0,0,17.106901,0,0,0,9.3790627,0,9.3790627,0,13852800,42.572258,0.70226306,4
PA 11-2010,18.356318,133.04836,217.14185,5.3805509,,0,Queen Producer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2010,1,8/10/2010,40.31561,-76.893898,8,7.7393074,2.0463123,0.15000001,-1.89712,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,1,1,8/9/1950,8/10/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.9099739,4.8907127,1,0,0,0,0,0,0,,,,,,,,,,,2.1678309,2
PA 11-2011,14.136154,114,228.26764,5.4305186,,0,"Honey Production, Stationary",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2011,1,9/14/2011,39.80522,-79.56089,9,12.525252,2.5277469,0,,-,0,-,0,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,40th,30th,0,1,9/13/1951,9/14/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6487355,4.7361984,1,0,0,0,0,0,0,,,,,,,,,,,2.6045585,3
PA 11-2012,11,134,222.77376,5.4061565,0,1,"honey, pollination",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2012,1,9/25/2012,40.59259,-77.57869,9,4.4193549,1.4859937,0.89999998,-0.10536052,+,1,-,0,+,1,-,0,+,1,-,0,-,0,,,-,0,+,1,,73.2,67.8,Below 30,1,1,9/24/1952,9/25/2012,32534100,2323800,2323800,0,45900,537300,0,86400,23400,900,35100,0,2064600,0,0,0,278100,80100,297000,0,0,0,1096200,3934800,3964500,2074500,805500,14231700,81900,50400,14400,0,3600,5400,0,0,0,0,3600,0,0,261900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207000,0,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1096200,10779300,297000,14364000,80100,14400,3600,7.1426597,0,0,0,1,7.1426597,0,0,0,0,1,1.651498,0,0,0,1,1.651498,0,0,0,1,0,0,0,0,0,0,0.26556751,0.26556751,1,0.011065313,0,0,0,0,0,33.132313,0.91288835,44.1506,0.24620321,0.044261251,0.011065313,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.3978953,4.89784,1,0,0,0,0,0,0,0,7.1426597,0,0,0,1.651498,0,1.651498,14462100,44.452129,1.6899768,4
PA 11-2013,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,PA,2013,1,9/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/2013,32530500,5414400,5414400,0,0,3487500,0,780300,26100,5400,66600,0,825300,900,0,5400,242100,38700,5400,0,0,0,9900,2269800,881100,177300,18000,8804700,28800,14400,8759700,0,0,0,900,0,0,0,1800,0,0,646200,0,0,0,0,900,0,0,0,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,900,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900,3346200,5400,8847900,38700,8759700,0,16.644072,0,0,0,1,,0,0,0,0,1,10.720708,0,0,0,1,10.720708,0,0,0,1,0,0,0,0,0,0,2.3986721,2.3986721,1,0.005533269,0,0,0,0,0,10.286346,0.016599806,27.198782,0.11896528,26.927652,0,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,16.644072,0,0,0,10.720708,0,10.720708,17646300,54.245399,,5
PA 12-2010,15.969244,63.598576,235.45296,5.4615111,,0,"Honey, Stationary",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2010,1,8/24/2010,40.61322,-76.20919,8,5.273632,1.6627192,0.050000001,-2.9957323,N,0,,,Y,1,,,N,0,N,0,N,0,N,0,N,0,N,0,,,,,1,1,8/23/1950,8/24/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.7706647,4.1525912,1,0,0,0,0,0,0,,,,,,,,,,,1.8363554,2
PA 12-2011,13,227.64594,235.10104,5.4600153,,0,"Stationary, Honey Production",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA,2011,1,8/22/2011,41.64972,-75.166382,8,1.0238907,0.023609865,0,,N/A,,+,1,+,1,N/A,,N/A,,,,-,0,-,0,-,0,-,0,,,N/A,N/A,0,1,8/21/1951,8/22/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.5649493,5.4277916,1,0,0,0,0,0,0,,,,,,,,,,,0.70502174,3
PA 12-2012,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,PA,2012,1,6/19/2013,40.09348,-76.846809,6,3.0363972,1.1106718,0.30000001,-1.2039728,,,,,,,,,,,,,,,,,,,N/A,,,,,,1,1,6/18/1953,6/19/2013,32539500,1535400,1535400,0,900,327600,0,11700,14400,900,31500,0,2444400,0,0,2700,475200,1026900,15300,0,0,0,465300,3305700,663300,45900,900,21460500,313200,207000,7200,62100,2700,0,0,0,0,0,4500,0,0,92700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,465300,4015800,15300,21980700,1026900,7200,64800,4.7185726,0,0,1,0,4.7185726,0,0,0,1,0,1.0067763,1.0067763,1,1,0,1.0067763,1.0067763,1,1,0,0,0,0,0,0,1,0.035956301,0,0,0.013829346,0.013829346,1,0,0,0,12.341309,0.047019776,67.550819,3.1558566,0.022126952,0.19914258,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,4.7185726,0,0,0,1.0067763,0,1.0067763,0,23079600,70.927948,1.3953525,4
PA 12-2013,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,PA,2013,1,9/11/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/11/2013,32536800,1715400,1713600,0,2700,594900,0,393300,203400,4500,84600,0,3139200,0,0,0,90900,1637100,72000,0,0,0,12600,4752000,1222200,341100,103500,8001000,35100,32400,9948600,10800,2700,1800,0,0,0,0,8100,0,0,125100,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12600,6418800,72000,8068500,1637100,9948600,13500,5.2721839,0,0,0,1,,0,0,0,0,1,1.8283912,0,0,0,1,1.8283912,0,0,0,1,0,0,0,0,0,0,1.2087852,1.2087852,1,0.024894888,0,0,0,0,0,19.727816,0.22128789,24.798075,5.0315337,30.576454,0.041491479,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,5.2721839,0,0,0,1.8283912,0,1.8283912,19667700,60.447556,,5
